hotel_id,price,offer,offer_cat,year,month,weekend,holiday,nnights,scarce_room,city,distance,stars,rating,country,city_actual,rating_reviewcount,center1label,center2label,neighbourhood,ratingta,ratingta_count,distance_alter,accommodation_type
7164,131,0,0% no offer,2017,11,0,0,1,0,London,6.5,3,4,United Kingdom,London,161,City centre,Wimbledon Park Underground Station,Blackheath,4,1669,9.3,Hotel
7169,253,1,50%-75% offer,2017,11,0,0,1,1,London,0.8,4,3.9,United Kingdom,London,557,City centre,Wimbledon Park Underground Station,Bloomsbury,4,1019,6.5,Hotel
7170,160,1,1-15% offer,2017,11,0,0,1,0,London,0.7,3,2.7,United Kingdom,London,201,City centre,Wimbledon Park Underground Station,Bloomsbury,2.5,507,6.5,Hotel
7171,223,1,15-50% offer,2017,11,0,0,1,0,London,0.9,3,3.5,United Kingdom,London,107,City centre,Wimbledon Park Underground Station,Bloomsbury,4,1070,6.8,Hotel
7172,241,1,15-50% offer,2017,11,0,0,1,1,London,0.9,3.5,4,United Kingdom,London,361,City centre,Wimbledon Park Underground Station,Bloomsbury,4,359,6.6,Hotel
7173,287,1,15-50% offer,2017,11,0,0,1,0,London,0.9,4,4.1,United Kingdom,London,596,City centre,Wimbledon Park Underground Station,Bloomsbury,4,2153,6.8,Hotel
7174,366,1,1-15% offer,2017,11,0,0,1,1,London,0.9,4,4.6,United Kingdom,London,287,City centre,Wimbledon Park Underground Station,Bloomsbury,5,4284,6.7,Hotel
7175,328,1,15-50% offer,2017,11,0,0,1,1,London,0.7,4,4.5,United Kingdom,London,359,City centre,Wimbledon Park Underground Station,Bloomsbury,4.5,3332,6.5,Hotel
7182,222,1,15-50% offer,2017,11,0,0,1,0,London,0.9,4,3.7,United Kingdom,London,228,City centre,Wimbledon Park Underground Station,Bloomsbury,3.5,800,6.6,Hotel
7184,185,1,15-50% offer,2017,11,0,0,1,1,London,0.7,3.5,4,United Kingdom,London,182,City centre,Wimbledon Park Underground Station,Bloomsbury,4.5,566,6.5,Hotel
7195,199,0,0% no offer,2017,11,0,0,1,0,London,0.9,3,3.7,United Kingdom,London,158,City centre,Wimbledon Park Underground Station,Bloomsbury,3.5,342,6.7,Hotel
7197,137,0,0% no offer,2017,11,0,0,1,1,London,1.2,4,3,United Kingdom,London,50,City centre,Wimbledon Park Underground Station,Bloomsbury,2.5,91,7,Hotel
7198,193,1,15-50% offer,2017,11,0,0,1,0,London,1.3,3,3.2,United Kingdom,London,289,City centre,Wimbledon Park Underground Station,Bloomsbury,3.5,643,7.1,Hotel
7202,159,1,15-50% offer,2017,11,0,0,1,1,London,1.3,3,3.2,United Kingdom,London,127,City centre,Wimbledon Park Underground Station,Bloomsbury,3,152,7.1,Hotel
7208,166,1,15-50% offer,2017,11,0,0,1,1,London,1,3,3.9,United Kingdom,London,349,City centre,Wimbledon Park Underground Station,Bloomsbury,3.5,357,6.7,Hotel
7210,201,1,1-15% offer,2017,11,0,0,1,1,London,1,3,4.3,United Kingdom,London,302,City centre,Wimbledon Park Underground Station,Bloomsbury,4.5,1802,6.7,Hotel
7211,303,0,0% no offer,2017,11,0,0,1,0,London,0.7,4,4.3,United Kingdom,London,371,City centre,Wimbledon Park Underground Station,Bloomsbury,4,2982,6.5,Hotel
7212,300,1,15-50% offer,2017,11,0,0,1,0,London,0.9,4,4,United Kingdom,London,732,City centre,Wimbledon Park Underground Station,Bloomsbury,4,3174,6.8,Hotel
7214,320,1,15-50% offer,2017,11,0,0,1,0,London,0.7,4,4,United Kingdom,London,655,City centre,Wimbledon Park Underground Station,Bloomsbury,4,2908,6.5,Hotel
7215,317,1,15-50% offer,2017,11,0,0,1,0,London,0.7,4,4.1,United Kingdom,London,275,City centre,Wimbledon Park Underground Station,Bloomsbury,4.5,2338,6.6,Hotel
7216,283,1,1-15% offer,2017,11,0,0,1,0,London,1.2,3.5,4,United Kingdom,London,423,City centre,Wimbledon Park Underground Station,Bloomsbury,4,2768,7,Hotel
7222,75,1,75%+ offer,2017,11,0,0,1,0,London,2.8,3,3.5,United Kingdom,London,177,City centre,Wimbledon Park Underground Station,Camden Town,3,425,8.4,Hotel
7223,92,1,15-50% offer,2017,11,0,0,1,0,London,2.8,3,3.2,United Kingdom,London,134,City centre,Wimbledon Park Underground Station,Camden Town,3,59,8.4,Hotel
7225,248,1,15-50% offer,2017,11,0,0,1,0,London,2.4,4,4.4,United Kingdom,London,552,City centre,Wimbledon Park Underground Station,Camden Town,4.5,1636,7.7,Hotel
7238,294,0,0% no offer,2017,11,0,0,1,0,London,4.5,4,4.6,United Kingdom,London,130,City centre,Wimbledon Park Underground Station,Canary Wharf,4.5,400,8.9,Hotel
