country,city_actual,rating_count,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,distance,distance_alter,accommodation_type,nnights,rating
Austria,Vienna,189,City centre,Donauturm,17. Hernals,81,Vienna,4,3.5,708,0,21897,1,1-15% offer,2017,11,0,0,1.7,3.8,Hotel,1,3.9
Austria,Vienna,53,City centre,Donauturm,Alsergrund,85,Vienna,4,3.5,629,0,21901,1,15-50% offer,2017,11,0,0,1.4,2.5,Hotel,1,3.7
Austria,Vienna,55,City centre,Donauturm,Alsergrund,83,Vienna,3,4,52,0,21902,1,15-50% offer,2017,11,0,0,1.7,2.5,Hotel,1,4
Austria,Vienna,33,City centre,Donauturm,Alsergrund,82,Vienna,4,3.5,219,1,21903,1,15-50% offer,2017,11,0,0,1.2,2.8,Hotel,1,3.9
Austria,Vienna,57,City centre,Donauturm,Alsergrund,103,Vienna,4,3.5,251,1,21906,0,0% no offer,2017,11,0,0,0.9,2.4,Hotel,1,3.9
Austria,Vienna,161,City centre,Donauturm,Alsergrund,150,Vienna,4,4.5,617,0,21907,0,0% no offer,2017,11,0,0,1,2.7,Hotel,1,4.6
Austria,Vienna,203,City centre,Donauturm,Alsergrund,60,Vienna,4,4,359,1,21912,1,1-15% offer,2017,11,0,0,1.1,2.7,Hotel,1,4.1
Austria,Vienna,251,City centre,Donauturm,Alsergrund,128,Vienna,4,4,829,0,21913,0,0% no offer,2017,11,0,0,0.8,2.9,Hotel,1,4
Austria,Vienna,18,City centre,Donauturm,Alsergrund,85,Vienna,4,4,62,0,21917,1,1-15% offer,2017,11,0,0,1.7,2.6,Hotel,1,4.1
Austria,Vienna,20,City centre,Donauturm,Alsergrund,77,Vienna,3,3.5,97,0,21918,1,15-50% offer,2017,11,0,0,0.9,2.8,Hotel,1,3.7
Austria,Vienna,77,City centre,Donauturm,Alsergrund,78,Vienna,3,3.5,120,1,21919,1,15-50% offer,2017,11,0,0,0.8,2.8,Hotel,1,3.9
Austria,Vienna,76,City centre,Donauturm,Alsergrund,78,Vienna,3,3.5,161,1,21920,0,0% no offer,2017,11,0,0,0.9,2.8,Hotel,1,4
Austria,Vienna,77,City centre,Donauturm,Donaustadt,77,Vienna,3,4,158,1,21924,0,0% no offer,2017,11,0,0,4.2,1.5,Hotel,1,3.9
Austria,Vienna,193,City centre,Donauturm,Donaustadt,77,Vienna,3,3,91,0,21925,1,50%-75% offer,2017,11,0,0,3.9,1.9,Hotel,1,2.7
Austria,Vienna,94,City centre,Donauturm,Donaustadt,95,Vienna,4,4,228,0,21926,1,15-50% offer,2017,11,0,0,3.6,1.2,Hotel,1,4.3
Austria,Vienna,178,City centre,Donauturm,Donaustadt,208,Vienna,4,4,1085,1,21930,0,0% no offer,2017,11,0,0,2.9,0.6,Hotel,1,4.1
Austria,Vienna,330,City centre,Donauturm,Donaustadt,87,Vienna,3,3.5,423,1,21933,0,0% no offer,2017,11,0,0,3.4,0.9,Hotel,1,3.7
Austria,Vienna,194,City centre,Donauturm,Favoriten,54,Vienna,3,4,522,0,21935,1,50%-75% offer,2017,11,0,0,2,4.5,Hotel,1,3.5
Austria,Vienna,441,City centre,Donauturm,Favoriten,99,Vienna,3.5,4.5,630,0,21940,0,0% no offer,2017,11,0,0,1.7,4.2,Hotel,1,4.4
Austria,Vienna,1122,City centre,Donauturm,Favoriten,75,Vienna,3.5,4.5,573,0,21941,1,15-50% offer,2017,11,0,0,1.7,4.1,Hotel,1,4.4
Austria,Vienna,362,City centre,Donauturm,Favoriten,76,Vienna,3,4,269,0,21943,1,15-50% offer,2017,11,0,0,2.1,4.6,Hotel,1,4.4
Austria,Vienna,525,City centre,Donauturm,Favoriten,91,Vienna,4,4.5,741,0,21946,0,0% no offer,2017,11,0,0,1.9,4.2,Hotel,1,4.5
Austria,Vienna,821,City centre,Donauturm,Favoriten,71,Vienna,4,4,31,0,21959,1,1-15% offer,2017,11,0,0,1.7,4.2,Hotel,1,4
Austria,Vienna,77,City centre,Donauturm,Graben,113,Vienna,3,4,259,0,21965,1,15-50% offer,2017,11,0,0,0.2,2.9,Hotel,1,4.4
Austria,Vienna,184,City centre,Donauturm,Innere Stadt,156,Vienna,3,4.5,1347,1,21968,1,1-15% offer,2017,11,0,0,0.3,2.6,Hotel,1,4.5
Austria,Vienna,319,City centre,Donauturm,Innere Stadt,133,Vienna,4,4,466,1,21970,1,15-50% offer,2017,11,0,0,0.3,2.6,Hotel,1,4.3
Austria,Vienna,73,City centre,Donauturm,Innere Stadt,123,Vienna,4,3.5,47,1,21971,1,15-50% offer,2017,11,0,0,0.5,3.1,Hotel,1,4.1
Austria,Vienna,81,City centre,Donauturm,Innere Stadt,219,Vienna,4,4.5,392,1,21972,1,1-15% offer,2017,11,0,0,0.3,3,Hotel,1,4.5
Austria,Vienna,271,City centre,Donauturm,Innere Stadt,152,Vienna,4,4,261,0,21973,1,15-50% offer,2017,11,0,0,0.3,3,Hotel,1,4.3
Austria,Vienna,211,City centre,Donauturm,Innere Stadt,115,Vienna,4,4.5,211,1,21975,1,15-50% offer,2017,11,0,0,0.1,2.7,Hotel,1,4.3
Austria,Vienna,316,City centre,Donauturm,Innere Stadt,138,Vienna,4,4.5,463,0,21977,1,15-50% offer,2017,11,0,0,0.2,2.6,Hotel,1,4.5
Austria,Vienna,336,City centre,Donauturm,Innere Stadt,146,Vienna,4,4,714,0,21980,0,0% no offer,2017,11,0,0,0.1,2.9,Hotel,1,4.4
Austria,Vienna,88,City centre,Donauturm,Innere Stadt,98,Vienna,3,3.5,66,1,21984,0,0% no offer,2017,11,0,0,0.5,2.6,Hotel,1,3.7
Austria,Vienna,140,City centre,Donauturm,Innere Stadt,121,Vienna,3.5,4.5,557,1,21985,1,15-50% offer,2017,11,0,0,0.3,2.5,Hotel,1,4.5
Austria,Vienna,391,City centre,Donauturm,Innere Stadt,149,Vienna,4,4,1516,0,21986,1,1-15% offer,2017,11,0,0,0.2,2.6,Hotel,1,4
Austria,Vienna,320,City centre,Donauturm,Innere Stadt,120,Vienna,3,3.5,515,0,21987,1,1-15% offer,2017,11,0,0,0.3,2.5,Hotel,1,3.9
Austria,Vienna,21,City centre,Donauturm,Innere Stadt,157,Vienna,3,4.5,146,1,21988,1,1-15% offer,2017,11,0,0,0.4,2.9,Hotel,1,4.4
Austria,Vienna,505,City centre,Donauturm,Innere Stadt,112,Vienna,4,4,607,0,21995,1,15-50% offer,2017,11,0,0,0.2,2.9,Hotel,1,4
Austria,Vienna,386,City centre,Donauturm,Innere Stadt,138,Vienna,4,4,273,0,21996,1,15-50% offer,2017,11,0,0,0.3,2.5,Hotel,1,4.3
Austria,Vienna,47,City centre,Donauturm,Innere Stadt,158,Vienna,3,4,232,1,22009,0,0% no offer,2017,11,0,0,0.3,3.1,Hotel,1,4.3
Austria,Vienna,124,City centre,Donauturm,Innere Stadt,218,Vienna,4,5,1112,1,22011,1,50%-75% offer,2017,11,0,0,0.2,2.6,Hotel,1,4.6
Austria,Vienna,115,City centre,Donauturm,Innere Stadt,218,Vienna,4,4.5,475,0,22012,1,15-50% offer,2017,11,0,0,0.1,2.7,Hotel,1,4.5
Austria,Vienna,110,City centre,Donauturm,Innere Stadt,135,Vienna,3,3.5,162,0,22013,1,15-50% offer,2017,11,0,0,0.3,2.6,Hotel,1,3.9
Austria,Vienna,467,City centre,Donauturm,Innere Stadt,179,Vienna,4,4.5,423,1,22016,0,0% no offer,2017,11,0,0,0.5,3.3,Hotel,1,4.4
Austria,Vienna,650,City centre,Donauturm,Innere Stadt,157,Vienna,4,4.5,1380,0,22018,1,1-15% offer,2017,11,0,0,0.7,3.5,Hotel,1,4.5
Austria,Vienna,95,City centre,Donauturm,Innere Stadt,146,Vienna,4,4.5,770,1,22019,0,0% no offer,2017,11,0,0,0.3,2.8,Hotel,1,4.5
Austria,Vienna,168,City centre,Donauturm,Innere Stadt,157,Vienna,4,4,392,1,22021,0,0% no offer,2017,11,0,0,0.1,2.8,Hotel,1,4.1
Austria,Vienna,175,City centre,Donauturm,Innere Stadt,108,Vienna,3,3.5,234,1,22023,1,15-50% offer,2017,11,0,0,0.3,2.5,Hotel,1,3.5
